Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,KONG HeeyongKIM Soyeong,2021 Tokyo,Badminton,Women's,doubles,Images/Medal_Bronze.png,KOR,Bronze
NaN,KIM Junghwan,2021 Tokyo,Fencing,Men's,sabre individual,Images/Medal_Bronze.png,KOR,Bronze
NaN,KWEON YoungjunPARK SangyoungMA SegeonSONG Jaeho,2021 Tokyo,Fencing,Men's,épée team,Images/Medal_Bronze.png,KOR,Bronze
NaN,SEO JiyeonCHOI SooyeonKIM JiyeonYOON Jisu,2021 Tokyo,Fencing,Women's,sabre team,Images/Medal_Bronze.png,KOR,Bronze
NaN,YEO Seojeong,2021 Tokyo,Gymnastics Artistic,Women's,vault,Images/Medal_Bronze.png,KOR,Bronze
NaN,AN Baul,2021 Tokyo,Judo,Men's,60 - 66kg (half-lightweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,AN Changrim,2021 Tokyo,Judo,Men's,66 - 73kg (lightweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,JUN Woongtae,2021 Tokyo,Modern Pentathlon,Men's,individual competition,Images/Medal_Bronze.png,KOR,Bronze
NaN,JANG Jun,2021 Tokyo,Taekwondo,Men's,- 58 kg,Images/Medal_Bronze.png,KOR,Bronze
NaN,IN Kyo Don,2021 Tokyo,Taekwondo,Men's,+ 80 kg,Images/Medal_Bronze.png,KOR,Bronze
NaN,KELMENDI Majlinda,2016 Rio de Janeiro,Judo,Women's,48 - 52kg (half-lightweight),Images/Medal_Gold.png,KOS,Gold
NaN,KRASNIQI Distria,2021 Tokyo,Judo,Women's,- 48kg (extra-lightweight),Images/Medal_Gold.png,KOS,Gold
NaN,GJAKOVA Nora,2021 Tokyo,Judo,Women's,52 - 57kg (lightweight),Images/Medal_Gold.png,KOS,Gold
NaN,Фехайд Аль Дихани,2000 Sydney,Shooting,Men's,Double trap,Images/Medal_Bronze.png,KUW,Bronze
NaN,Fehaid ALDEEHANI,2012 London,Shooting,Men's,Trap,Images/Medal_Bronze.png,KUW,Bronze
NaN,ALRASHIDI Abdullah,2021 Tokyo,Shooting,Men's,Skeet,Images/Medal_Bronze.png,KUW,Bronze
NaN,Айдын Смагулов,2000 Sydney,Judo,Men's,- 60 kg,Images/Medal_Bronze.png,KGZ,Bronze
NaN,Kanatbek BEGALIEV,2008 Beijing,Wrestling Greco-Roman,Men's,60 - 66kg,Images/Medal_Silver.png,KGZ,Silver
NaN,Bazar BAZARGURUEV,2008 Beijing,Wrestling Freestyle,Men's,55 - 60kg,Images/Medal_Bronze.png,KGZ,Bronze
NaN,Ruslan TIUMENBAEV,2008 Beijing,Wrestling Greco-Roman,Men's,55 - 60kg,Images/Medal_Bronze.png,KGZ,Bronze
NaN,TYNYBEKOVA Aisuluu,2021 Tokyo,Wrestling Freestyle,Women's,62kg,Images/Medal_Silver.png,KGZ,Silver
NaN,MAKHMUDOV Akzhol,2021 Tokyo,Wrestling Greco-Roman,Men's,77kg,Images/Medal_Silver.png,KGZ,Silver
NaN,ZHUMANAZAROVA Meerim,2021 Tokyo,Wrestling Freestyle,Women's,68kg,Images/Medal_Bronze.png,KGZ,Bronze
NaN,NaN,NaN,NaN,NaN,NaN,NaN,LAO,NaN
NaN,Janis DALINS,1932 Los Angeles,Athletics,Men's,50km walk,Images/Medal_Silver.png,LAT,Silver
NaN,Edwins BIETAGS,1936 Berlin,Wrestling Greco-Roman,Men's,79 - 87kg (light-heavyweight),Images/Medal_Silver.png,LAT,Silver
NaN,Adalberts BUBENKO,1936 Berlin,Athletics,Men's,50km walk,Images/Medal_Bronze.png,LAT,Bronze
NaN,Ivans KLEMENTYEV,1992 Barcelona,Canoe Sprint,Men's,C-1 1000m (canoe single),Images/Medal_Silver.png,LAT,Silver
NaN,Afanasijs KUZMINS,1992 Barcelona,Shooting,Men's,25m rapid fire pistol,Images/Medal_Silver.png,LAT,Silver
NaN,Dainis OZOLS,1992 Barcelona,Cycling Road,Men's,individual road race,Images/Medal_Bronze.png,LAT,Bronze
NaN,Клементьев,1996 Atlanta,Canoe Sprint,Men's,C-1 1000m (canoe single),Images/Medal_Silver.png,LAT,Silver
