Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Mi-Jung KIM,1992 Barcelona,Judo,Women's,66 - 72kg (half-heavyweight),Images/Medal_Gold.png,KOR,Gold
NaN,Eun-Chul LEE,1992 Barcelona,Shooting,Men's,50m rifle prone,Images/Medal_Gold.png,KOR,Gold
NaN,Kab-Soon YEO,1992 Barcelona,Shooting,Women's,10m air rifle,Images/Medal_Gold.png,KOR,Gold
NaN,Byung-Kwan CHUN,1992 Barcelona,Weightlifting,Men's,- 56kg (bantamweight),Images/Medal_Gold.png,KOR,Gold
NaN,Jang-Soon PARK,1992 Barcelona,Wrestling Freestyle,Men's,68 - 74kg (welterweight),Images/Medal_Gold.png,KOR,Gold
NaN,Han-Bong AN,1992 Barcelona,Wrestling Greco-Roman,Men's,52 - 57kg (bantamweight),Images/Medal_Gold.png,KOR,Gold
NaN,Jae-Hun CHUNG,1992 Barcelona,Archery,Men's,individual (FITA Olympic round - 70m),Images/Medal_Silver.png,KOR,Silver
NaN,Soo-Nyung KIM,1992 Barcelona,Archery,Women's,individual (FITA Olympic round - 70m),Images/Medal_Silver.png,KOR,Silver
NaN,Soo-Hyun BANG,1992 Barcelona,Badminton,Women's,singles,Images/Medal_Silver.png,KOR,Silver
NaN,Hyun YOON,1992 Barcelona,Judo,Men's,- 60 kg,Images/Medal_Silver.png,KOR,Silver
NaN,Jong-Shin KIM,1992 Barcelona,Wrestling Freestyle,Men's,- 48kg (light-flyweight),Images/Medal_Silver.png,KOR,Silver
NaN,Eun-Jung SHIMYoung-Ah GIL,1992 Barcelona,Badminton,Women's,doubles,Images/Medal_Bronze.png,KOR,Bronze
NaN,Sung Sik HONG,1992 Barcelona,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Seung Bae LEE,1992 Barcelona,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Ok Ryul YOO,1992 Barcelona,Gymnastics Artistic,Men's,vault,Images/Medal_Bronze.png,KOR,Bronze
NaN,Hoon CHUNG,1992 Barcelona,Judo,Men's,65 - 71kg (lightweight),Images/Medal_Bronze.png,KOR,Bronze
